measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,22,Fiji,3,Both,22,All ages,294,All causes,1,Number,2021,9448.30416950498,11937.404270955656,7219.279431415872
1,Deaths,22,Fiji,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,22,Fiji,3,Both,22,All ages,294,All causes,3,Rate,2021,1022.0194754795324,1291.264488601708,780.9067156886836
1,Deaths,23,Kiribati,3,Both,22,All ages,294,All causes,1,Number,2021,979.9046439274824,1188.3671565264951,816.3527767145235
1,Deaths,23,Kiribati,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,23,Kiribati,3,Both,22,All ages,294,All causes,3,Rate,2021,808.7626083397506,980.81678368777,673.7753567273613
1,Deaths,56,Eastern Europe,3,Both,22,All ages,294,All causes,1,Number,2021,3471713.8691748767,3613801.412838285,3329811.272938906
1,Deaths,56,Eastern Europe,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,56,Eastern Europe,3,Both,22,All ages,294,All causes,3,Rate,2021,1679.1096340384431,1747.8308974929041,1610.4778212181293
1,Deaths,186,Seychelles,3,Both,22,All ages,294,All causes,1,Number,2021,861.2282717643809,931.1895790840925,802.6089497628774
1,Deaths,186,Seychelles,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,186,Seychelles,3,Both,22,All ages,294,All causes,3,Rate,2021,816.860526164169,883.2176491035178,761.2610854776283
1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,1,Number,2021,4035.3205067574227,4271.599975123949,3812.2755688244497
1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,3,Rate,2021,912.5160854040342,965.9464920282708,862.0784328579841
1,Deaths,367,Monaco,3,Both,22,All ages,294,All causes,1,Number,2021,590.6157000164873,662.754958227744,524.0418269890935
1,Deaths,367,Monaco,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,367,Monaco,3,Both,22,All ages,294,All causes,3,Rate,2021,1559.8570512746992,1750.381838528769,1384.030832517649
1,Deaths,24,Marshall Islands,3,Both,22,All ages,294,All causes,1,Number,2021,442.6408096792374,554.1332453031424,357.0535908990705
1,Deaths,24,Marshall Islands,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,24,Marshall Islands,3,Both,22,All ages,294,All causes,3,Rate,2021,786.5939551416539,984.7213622583523,634.5013611970256
1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,1,Number,2021,169764.29857501425,171714.73640166267,168026.7479387877
1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,3,Rate,2021,986.390300194663,997.7230301590182,976.2945197033747
1,Deaths,154,Tunisia,3,Both,22,All ages,294,All causes,1,Number,2021,103439.20719243116,124510.5666249287,84754.85036841917
1,Deaths,154,Tunisia,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,154,Tunisia,3,Both,22,All ages,294,All causes,3,Rate,2021,873.4517760915579,1051.3805984455396,715.6790601551222
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,2021,184094.58341633825,186096.81163507685,182518.68518108272
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2021,778.8509650467352,787.3218138434196,772.1837951682581
1,Deaths,42,Central Europe,3,Both,22,All ages,294,All causes,1,Number,2021,1765261.106993342,1783223.9006320632,1747348.6088460195
1,Deaths,42,Central Europe,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,42,Central Europe,3,Both,22,All ages,294,All causes,3,Rate,2021,1531.4963018809296,1547.080371523755,1515.9558673461233
1,Deaths,9,Southeast Asia,3,Both,22,All ages,294,All causes,1,Number,2021,5513570.838758626,6163126.594693631,4863041.3069568
1,Deaths,9,Southeast Asia,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,9,Southeast Asia,3,Both,22,All ages,294,All causes,3,Rate,2021,789.5651670342771,882.5841222506698,696.4067632595131
1,Deaths,74,Andorra,3,Both,22,All ages,294,All causes,1,Number,2021,633.0074765805632,775.4172850055869,495.7814643480887
1,Deaths,74,Andorra,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,74,Andorra,3,Both,22,All ages,294,All causes,3,Rate,2021,739.5523125784912,905.9318689835915,579.2290645172421
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,1,Number,2021,3294.765964179703,3880.917585914911,2776.48361350278
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,3,Rate,2021,1101.8370392884606,1297.8581146814881,928.5128344757819
1,Deaths,192,Southern Sub-Saharan Africa,3,Both,22,All ages,294,All causes,1,Number,2021,1036463.7771741259,1087081.5408158796,987049.7605143292
1,Deaths,192,Southern Sub-Saharan Africa,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,192,Southern Sub-Saharan Africa,3,Both,22,All ages,294,All causes,3,Rate,2021,1290.6781711291558,1353.7109987518522,1229.1443345830298
1,Deaths,27,Samoa,3,Both,22,All ages,294,All causes,1,Number,2021,1350.0033256373495,1582.5500898114756,1160.2196672516284
1,Deaths,27,Samoa,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,27,Samoa,3,Both,22,All ages,294,All causes,3,Rate,2021,631.9061229184556,740.7560208082481,543.0726708177485
1,Deaths,376,Northern Mariana Islands,3,Both,22,All ages,294,All causes,1,Number,2021,394.3637332904476,441.8163413233366,318.914030715002
1,Deaths,376,Northern Mariana Islands,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
